name,slug,value,date_of_information,ranking,region
"Eswatini","eswatini","26.80","2020 est.","1","Africa"
"Lesotho","lesotho","21.10","2020 est.","2","Africa"
"Botswana","botswana","19.90","2020 est.","3","Africa"
"South Africa","south-africa","19.10","2020 est.","4","Africa"
"Zimbabwe","zimbabwe","11.90","2020 est.","5","Africa"
"Namibia","namibia","11.60","2020 est.","6","Africa"
"Mozambique","mozambique","11.50","2020 est.","7","Africa"
"Zambia","zambia","11.10","2020 est.","8","Africa"
"Malawi","malawi","8.10","2020 est.","9","Africa"
"Equatorial Guinea","equatorial-guinea","7.30","2020 est.","10","Africa"
"Uganda","uganda","5.40","2020 est.","11","Africa"
"Tanzania","tanzania","4.70","2020 est.","12","Africa"
"Kenya","kenya","4.20","2020 est.","13","Africa"
"Congo, Republic of the","congo-republic-of-the","3.30","2020 est.","14","Africa"
"Cameroon","cameroon","3.00","2020 est.","15","Africa"
"Gabon","gabon","3.00","2020 est.","16","Africa"
"Guinea-Bissau","guinea-bissau","3.00","2020 est.","17","Africa"
"Central African Republic","central-african-republic","2.90","2020 est.","18","Africa"
"Rwanda","rwanda","2.50","2020 est.","19","Africa"
"South Sudan","south-sudan","2.30","2020 est.","20","Africa"
"Cote d'Ivoire","cote-divoire","2.10","2020 est.","21","Africa"
"Togo","togo","2.00","2020 est.","22","Africa"
"Haiti","haiti","1.90","2020 est.","23","Central America"
"Angola","angola","1.80","2020 est.","24","Africa"
"Gambia, The","gambia-the","1.80","2020 est.","25","Africa"
"Ghana","ghana","1.70","2020 est.","26","Africa"
"Mauritius","mauritius","1.70","2020","27","Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","1.50","2018","28","Central America"
"Sierra Leone","sierra-leone","1.50","2020 est.","29","Africa"
"Guinea","guinea","1.40","2020 est.","30","Africa"
"Jamaica","jamaica","1.40","2020 est.","31","Central America"
"Guyana","guyana","1.30","2020 est.","32","South America"
"Nigeria","nigeria","1.30","2020 est.","33","Africa"
"Bahamas, The","bahamas-the","1.20","2020 est.","34","Central America"
"Belize","belize","1.20","2020 est.","35","Central America"
"Russia","russia","1.20","2017 est.","36","Central Asia"
"Antigua and Barbuda","antigua-and-barbuda","1.10","2018","37","Central America"
"Barbados","barbados","1.10","2019 est.","38","Central America"
"Chad","chad","1.10","2020 est.","39","Africa"
"Liberia","liberia","1.10","2020 est.","40","Africa"
"Suriname","suriname","1.10","2020 est.","41","South America"
"Burundi","burundi","1.00","2020 est.","42","Africa"
"Panama","panama","1.00","2020 est.","43","Central America"
"Thailand","thailand","1.00","2020 est.","44","East Asia/Southeast Asia"
"Ukraine","ukraine","1.00","2020 est.","45","Europe"
"Benin","benin","0.90","2020 est.","46","Africa"
"Dominican Republic","dominican-republic","0.90","2020 est.","47","Central America"
"Ethiopia","ethiopia","0.90","2020 est.","48","Africa"
"Mali","mali","0.90","2020 est.","49","Africa"
"Papua New Guinea","papua-new-guinea","0.90","2020 est.","50","East Asia/Southeast Asia"
"Djibouti","djibouti","0.80","2020 est.","51","Africa"
"Estonia","estonia","0.80","2020 est.","52","Europe"
"Moldova","moldova","0.80","2020 est.","53","Europe"
"Burkina Faso","burkina-faso","0.70","2020 est.","54","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","0.70","2020 est.","55","Africa"
"Trinidad and Tobago","trinidad-and-tobago","0.70","2020 est.","56","Central America"
"Brazil","brazil","0.60","2020 est.","57","South America"
"Burma","burma","0.60","2019 est.","58","East Asia/Southeast Asia"
"Chile","chile","0.60","2020 est.","59","South America"
"Dominica","dominica","0.60","2018","60","Central America"
"Saint Lucia","saint-lucia","0.60","2018","61","Central America"
"Belarus","belarus","0.50","2020 est.","62","Europe"
"Cabo Verde","cabo-verde","0.50","2020 est.","63","Africa"
"Cambodia","cambodia","0.50","2020 est.","64","East Asia/Southeast Asia"
"El Salvador","el-salvador","0.50","2020 est.","65","Central America"
"Eritrea","eritrea","0.50","2020 est.","66","Africa"
"Grenada","grenada","0.50","2018","67","Central America"
"Portugal","portugal","0.50","2020 est.","68","Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","0.50","2018","69","Central America"
"Venezuela","venezuela","0.50","2020 est.","70","South America"
"Argentina","argentina","0.40","2020 est.","71","South America"
"Colombia","colombia","0.40","2020 est.","72","South America"
"Costa Rica","costa-rica","0.40","2020 est.","73","Central America"
"Cuba","cuba","0.40","2020 est.","74","Central America"
"Indonesia","indonesia","0.40","2020 est.","75","East Asia/Southeast Asia"
"Malaysia","malaysia","0.40","2020 est.","76","East Asia/Southeast Asia"
"Mexico","mexico","0.40","2020 est.","77","North America"
"Spain","spain","0.40","2020 est.","78","Europe"
"Uruguay","uruguay","0.40","2020 est.","79","South America"
"Ecuador","ecuador","0.30","2020 est.","80","South America"
"France","france","0.30","2019 est.","81","Europe"
"Georgia","georgia","0.30","2020 est.","82","Middle East"
"Kazakhstan","kazakhstan","0.30","2020 est.","83","Central Asia"
"Laos","laos","0.30","2020 est.","84","East Asia/Southeast Asia"
"Latvia","latvia","0.30","2019 est.","85","Europe"
"Luxembourg","luxembourg","0.30","2018 est.","86","Europe"
"Madagascar","madagascar","0.30","2020 est.","87","Africa"
"Mauritania","mauritania","0.30","2020 est.","88","Africa"
"Paraguay","paraguay","0.30","2020 est.","89","South America"
"Peru","peru","0.30","2020 est.","90","South America"
"Sao Tome and Principe","sao-tome-and-principe","0.30","2020","91","Africa"
"Senegal","senegal","0.30","2020 est.","92","Africa"
"Vietnam","vietnam","0.30","2020 est.","93","East Asia/Southeast Asia"
"Armenia","armenia","0.20","2020 est.","94","Middle East"
"Bhutan","bhutan","0.20","2020","95","South Asia"
"Bolivia","bolivia","0.20","2020 est.","96","South America"
"Fiji","fiji","0.20","2020 est.","97","Australia - Oceania"
"Greece","greece","0.20","2020 est.","98","Europe"
"Guatemala","guatemala","0.20","2020 est.","99","Central America"
"Honduras","honduras","0.20","2020 est.","100","Central America"
"India","india","0.20","2017 est.","101","South Asia"
"Ireland","ireland","0.20","2020 est.","102","Europe"
"Israel","israel","0.20","2018","103","Middle East"
"Italy","italy","0.20","2020 est.","104","Europe"
"Kyrgyzstan","kyrgyzstan","0.20","2020 est.","105","Central Asia"
"Netherlands","netherlands","0.20","2020 est.","106","Europe"
"Nicaragua","nicaragua","0.20","2020 est.","107","Central America"
"Niger","niger","0.20","2020 est.","108","Africa"
"Pakistan","pakistan","0.20","2020 est.","109","South Asia"
"Philippines","philippines","0.20","2020 est.","110","East Asia/Southeast Asia"
"Singapore","singapore","0.20","2020 est.","111","East Asia/Southeast Asia"
"Sudan","sudan","0.20","2020 est.","112","Africa"
"Sweden","sweden","0.20","2016 est.","113","Europe"
"Switzerland","switzerland","0.20","2020","114","Europe"
"Tajikistan","tajikistan","0.20","2020 est.","115","Central Asia"
"Timor-Leste","timor-leste","0.20","2020","116","East Asia/Southeast Asia"
"Uzbekistan","uzbekistan","0.20","2020 est.","117","Central Asia"
"Australia","australia","0.10","2020 est.","118","Australia - Oceania"
"Austria","austria","0.10","2017 est.","119","Europe"
"Azerbaijan","azerbaijan","0.10","2020 est.","120","Middle East"
"Cyprus","cyprus","0.10","2017 est.","121","Europe"
"Denmark","denmark","0.10","2020 est.","122","Europe"
"Finland","finland","0.10","2018","123","Europe"
"Germany","germany","0.10","2020 est.","124","Europe"
"Iceland","iceland","0.10","2020","125","Europe"
"Libya","libya","0.10","2020","126","Africa"
"Lithuania","lithuania","0.10","2019 est.","127","Europe"
"Malta","malta","0.10","2016 est.","128","Europe"
"Nepal","nepal","0.10","2020 est.","129","South Asia"
"Norway","norway","0.10","2018 est.","130","Europe"
"Oman","oman","0.10","2019","131","Middle East"
"Romania","romania","0.10","2020 est.","132","Europe"
"United Arab Emirates","united-arab-emirates","0.10","2020","133","Middle East"